iter	Passed	Remaining
0	1	176
1	3	159
2	4	152
3	5	140
4	9	177
5	10	170
6	12	162
7	13	156
8	14	150
9	16	150
10	18	147
11	19	144
12	21	143
13	25	154
14	26	151
15	28	147
16	29	144
17	30	141
18	32	138
19	33	134
20	35	131
21	36	128
22	39	132
23	41	130
24	42	127
25	43	124
26	45	122
27	46	119
28	47	116
29	49	114
30	50	112
31	51	109
32	55	112
33	57	112
34	59	110
35	61	109
36	63	107
37	65	106
38	67	104
39	70	106
40	72	104
41	73	100
42	75	99
43	77	98
44	78	96
45	80	94
46	83	94
47	86	93
48	88	91
49	89	89
50	92	89
51	94	87
52	96	85
53	101	86
54	102	83
55	104	82
56	106	80
57	108	78
58	110	76
59	115	77
60	118	75
61	120	73
62	122	71
63	124	69
64	126	68
65	131	67
66	134	66
67	136	64
68	137	61
69	139	59
70	141	57
71	145	56
72	148	54
73	150	52
74	152	50
75	154	48
76	156	46
77	161	45
78	163	43
79	165	41
80	167	39
81	170	37
82	173	35
83	177	33
84	179	31
85	181	29
86	183	27
87	186	25
88	188	23
89	192	21
90	194	19
91	196	17
92	198	14
93	201	12
94	203	10
95	207	8
96	208	6
97	211	4
98	214	2
99	216	0
